Lipid,Standard,Concentration (nmol/ml),RelativeAbundance
GM3 d16:1/C20:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d16:1/C22:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d16:1/C24:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d16:1/C24:1 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:1/C14:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:1/C16:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:1/C18:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:1/C20:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:1/C22:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:1/C24:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:1/C24:1 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:2/14:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:2/16:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:2/18:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:2/20:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:2/22:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:2/24:0 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
GM3 d18:2/24:1 Results,Gb3 (d18:1)(C18:0)-D3-IS Results,0.5,1
MHCer d16:1/C16:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C16:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C18:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C18:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C20:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C20:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C22:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C22:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C22:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C22:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C23:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C23:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C23:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C23:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C24:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C24:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C24:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C24:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d16:1/C26:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d16:1/C26:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C14:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C14:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C16:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C16:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C16:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C16:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C18:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C18:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C18:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C18:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C20:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C20:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C20:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C20:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C22:0 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C22:0(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
MHCer d18:1/C22:1 Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,1
MHCer d18:1/C22:1(-H20) Results,MHCer d18:1/C8:0 (ISTD) Results,0.17,0
